experiment,group,scenario,chain,quality,engine,cs_psnr,sr_psnr,cs_ssim,sr_ssim,cs_mae,sr_mae,cs_rmse,sr_rmse
single,sweep,AVIF q=95,AVIF,95,real,20.95459419250488,23.385596618652343,0.8282065439224243,0.7194416189193725,16.71853614807129,12.895195465087891,24.52514663696289,18.001895828247072
single,sweep,AVIF q=90,AVIF,90,real,20.95459419250488,23.33439239501953,0.8282065439224243,0.7145864200592041,16.71853614807129,12.978829536437988,24.52514663696289,18.100134124755858
single,sweep,AVIF q=80,AVIF,80,real,20.95459419250488,23.262100830078126,0.8282065439224243,0.7085130834579467,16.71853614807129,13.090232963562011,24.52514663696289,18.241043853759766
single,sweep,AVIF q=65,AVIF,65,real,20.95459419250488,22.9278662109375,0.8282065439224243,0.6835880970954895,16.71853614807129,13.614229850769043,24.52514663696289,18.906175231933595
single,sweep,AVIF q=50,AVIF,50,real,20.95459419250488,22.267861251831054,0.8282065439224243,0.6417395591735839,16.71853614807129,14.649546089172363,24.52514663696289,20.326236114501953
multi,single,None,None,0,sim,20.869457092285156,23.92508010864258,0.8324830675125122,0.754351794719696,16.9366357421875,12.180112953186034,24.818371887207032,17.002205047607422
multi,single,JPEG,JPEG,80,sim,20.869457092285156,22.358714904785156,0.8324830675125122,0.6321648645401001,16.9366357421875,14.351701583862305,24.818371887207032,20.178786163330077
multi,single,WebP,WebP,80,sim,20.827274246215822,23.43982208251953,0.8318798351287842,0.7135806894302368,17.031414947509766,12.914108238220216,24.918975982666016,17.875609741210937
multi,single,HEIF,HEIF,80,sim,20.874224395751952,23.55830307006836,0.8326358652114868,0.718581519126892,16.92585289001465,12.711933937072754,24.804814682006835,17.654449768066407
multi,single,AVIF,AVIF,80,sim,20.83601058959961,23.513910217285158,0.8319643640518188,0.7221932077407837,17.010086822509766,12.774415817260742,24.900488204956055,17.748872299194336
multi,cascade,Single (baseline),JPEG,80,sim,20.869457092285156,22.358714904785156,0.8324830675125122,0.6321648645401001,16.9366357421875,14.351701583862305,24.818371887207032,20.178786163330077
multi,cascade,Double same,JPEG -> JPEG,80,sim,20.869457092285156,22.279450836181642,0.8324830675125122,0.6290058898925781,16.9366357421875,14.484724540710449,24.818371887207032,20.364923095703126
multi,cascade,Double cross,JPEG -> WebP,80,sim,20.869457092285156,22.13745964050293,0.8324830675125122,0.6103501081466675,16.9366357421875,14.770391654968261,24.818371887207032,20.653103485107422
multi,cascade,Triple mixed,JPEG -> WebP -> JPEG,80,sim,20.869457092285156,22.028971252441405,0.8324830675125122,0.611307373046875,16.9366357421875,14.937721557617188,24.818371887207032,20.92488250732422
multi,cascade,Platform simulate,JPEG -> HEIF -> WebP,80,sim,20.869457092285156,21.941474838256838,0.8324830675125122,0.5958935451507569,16.9366357421875,15.119974746704102,24.818371887207032,21.0917586517334
multi,cascade,Full chain,JPEG -> WebP -> HEIF -> AVIF,80,sim,20.869457092285156,21.80236976623535,0.8324830675125122,0.59440580368042,16.9366357421875,15.392702255249024,24.818371887207032,21.418277893066406
multi,sweep,JPEG q=95,JPEG,95,sim,20.869457092285156,23.28947250366211,0.8324830675125122,0.7059545540809631,16.9366357421875,12.947534027099609,24.818371887207032,18.233595581054686
multi,sweep,JPEG q=90,JPEG,90,sim,20.869457092285156,22.991737518310547,0.8324830675125122,0.6777923607826233,16.9366357421875,13.399700469970703,24.818371887207032,18.82261245727539
multi,sweep,JPEG q=80,JPEG,80,sim,20.869457092285156,22.358714904785156,0.8324830675125122,0.6321648645401001,16.9366357421875,14.351701583862305,24.818371887207032,20.178786163330077
multi,sweep,JPEG q=65,JPEG,65,sim,20.869457092285156,21.693628005981445,0.8324830675125122,0.5914854049682617,16.9366357421875,15.43137481689453,24.818371887207032,21.730774536132813
multi,sweep,JPEG q=50,JPEG,50,sim,20.869457092285156,21.24476921081543,0.8324830675125122,0.5661607551574707,16.9366357421875,16.250422286987305,24.818371887207032,22.84603225708008
multi,sweep,WebP q=95,WebP,95,sim,20.827274246215822,23.037381134033204,0.8318798351287842,0.7240613794326782,17.031414947509766,13.689458351135254,24.918975982666016,18.651118774414062
multi,sweep,WebP q=90,WebP,90,sim,20.827274246215822,23.218699798583984,0.8318798351287842,0.7211020874977112,17.031414947509766,13.33328025817871,24.918975982666016,18.297120361328126
multi,sweep,WebP q=80,WebP,80,sim,20.827274246215822,23.43982208251953,0.8318798351287842,0.7135806894302368,17.031414947509766,12.914108238220216,24.918975982666016,17.875609741210937
multi,sweep,WebP q=65,WebP,65,sim,20.827274246215822,23.363039245605467,0.8318798351287842,0.6989427828788757,17.031414947509766,13.026599655151367,24.918975982666016,17.99865135192871
multi,sweep,WebP q=50,WebP,50,sim,20.827274246215822,22.848769073486327,0.8318798351287842,0.6813645648956299,17.031414947509766,13.951660232543945,24.918975982666016,18.967071838378907
multi,sweep,HEIF q=95,HEIF,95,sim,20.874224395751952,23.781045837402345,0.8326358652114868,0.7356020903587341,16.92585289001465,12.360040283203125,24.804814682006835,17.258788452148437
multi,sweep,HEIF q=90,HEIF,90,sim,20.874224395751952,23.72241325378418,0.8326358652114868,0.7309487104415894,16.92585289001465,12.452108573913574,24.804814682006835,17.359576950073244
multi,sweep,HEIF q=80,HEIF,80,sim,20.874224395751952,23.55830307006836,0.8326358652114868,0.718581519126892,16.92585289001465,12.711933937072754,24.804814682006835,17.654449768066407
multi,sweep,HEIF q=65,HEIF,65,sim,20.874224395751952,23.1201806640625,0.8326358652114868,0.6893095183372497,16.92585289001465,13.426138305664063,24.804814682006835,18.480126037597657
multi,sweep,HEIF q=50,HEIF,50,sim,20.874224395751952,22.34292404174805,0.8326358652114868,0.6446696186065674,16.92585289001465,14.759399948120118,24.804814682006835,20.074422149658204
multi,sweep,AVIF q=95,AVIF,95,sim,20.83601058959961,23.681337432861326,0.8319643640518188,0.7361043071746827,17.010086822509766,12.514489097595215,24.900488204956055,17.449265213012694
multi,sweep,AVIF q=90,AVIF,90,sim,20.83601058959961,23.640217971801757,0.8319643640518188,0.7324768471717834,17.010086822509766,12.578564605712891,24.900488204956055,17.522656478881835
multi,sweep,AVIF q=80,AVIF,80,sim,20.83601058959961,23.513910217285158,0.8319643640518188,0.7221932077407837,17.010086822509766,12.774415817260742,24.900488204956055,17.748872299194336
multi,sweep,AVIF q=65,AVIF,65,sim,20.83601058959961,23.17357666015625,0.8319643640518188,0.6976968812942504,17.010086822509766,13.331874809265138,24.900488204956055,18.383638763427733
